data;hora;natureza_acidente;situacao;bairro;endereco;numero;detalhe_endereco_acidente;complemento;bairro_cruzamento;num_semaforo;sentido_via;tipo;auto;moto;ciclom;ciclista;pedestre;onibus;caminhao;viatura;outros;vitimas;vitimasfatais;acidente_verificado;tempo_clima;situacao_semaforo;sinalizacao;condicao_via;conservacao_via;ponto_controle;situacao_placa;velocidade_max_via;mao_direcao;divisao_via1;divisao_via2;divisao_via3
2021-01-04;10:26:00;SEM VÍTIMA;FINALIZADA;SÃO JOSÉ;RUA IMPERIAL;1600;;EM FRENTE;SÃO JOSÉ;;SUBURBIO;CHOQUE;0;0;0;0;0;0;1;0;0;0;0;Longo da via;Chuvoso;Não existe;Perfeito estado;Molhada;Mal conservada;Não existe;Não há placas;;Única;Não existe;;
2021-01-04;10:28:00;SEM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;RUA JOAQUIM NABUCO;HOSPITAL DA RESTAURAÇÃO;DERBY;174;SUBURBIO;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;0;0;0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canal;;
2021-01-04;10:44:00;COM VÍTIMA;FINALIZADA;SANTO ANTÔNIO;C SANTA RITA;;;EM FRENTE AS TORRES GÊMEAS;SANTO ANTÔNIO;;;TOMBAMENTO;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Não há placas;60 km/h;Dupla;Canteiro central;;
2021-01-04;16:05:00;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;E/F A PRAÇA DO DERBY S/T  BOA VIAGEM;DERBY;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Canteiro central;;
2021-01-05;08:25:00;COM VÍTIMA;FINALIZADA;SÃO JOSÉ;VDO DAS CINCO PONTAS;;;SOBRE O VIADUTO DO FORTE DAS CINCO PONTAS;SÃO JOSÉ;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Viaduto;Bom;Não existe;Ilegível;Seca;Perfeito estado;Não existe;Não há placas;40 km/h;Dupla;Canteiro central;;
2021-01-05;10:48:00;COM VÍTIMA;FINALIZADA;PINA;AV ENGENHEIRO DOMINGOS FERREIRA;;;EM FRENTE AO ARMAZEM CORAL;PINA;;;ATROPELAMENTO;0;1;0;0;1;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa contínua;;
2021-01-05;11:15:00;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA SAO MIGUEL;;1 TRV JUSTICA E PAZ;qui;AFOGADOS;;SUBURBIO;COLISÃO TRANSVERSAL;2;0;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;;Seca;Perfeito estado;Faixa de pedestre;Outras;40 km/h;Dupla;Faixa contínua;;
2021-01-05;14:09:00;SEM VÍTIMA;FINALIZADA;BOA VIAGEM;AV BOA VIAGEM;802;;EM FRENTE AO ARCÁDIA RECEPÇÕES;BOA VIAGEM;;;COLISÃO;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2021-01-05;16:24:00;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA SAO MIGUEL;;;PROX AO BODE DO NÓ;AFOGADOS;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;;;;Não existe;Não há placas;;Dupla;Faixa contínua;;
2021-01-05;17:35:00;COM VÍTIMA;FINALIZADA;ROSARINHO;AV NORTE;;;DEFRONTE A PADARIA ROSARINHO;ROSARINHO;;SUBURBIO;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa seccionada;;
2021-01-05;18:37:00;COM VÍTIMA;CANCELADA;IPSEP;AV RECIFE;;RUA JEAN EMILE FAVRE;;IPSEP;;;COLISÃO;1;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
2021-01-06;08:02:00;COM VÍTIMA;FINALIZADA;MUSTARDINHA;RUA DR ARMANDO TAVARES;111;RUA NATALINO TEIXEIRA;PROX. AO ESPETINHO DO PITECO;MUSTARDINHA;;;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2021-01-06;08:11:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;RUA TREZE DE MAIO;;RUA FREI CASSIMIRO;EM FRENTE BORRACHARIA;SANTO AMARO;;;COLISÃO LATERAL;1;0;0;0;0;0;0;1;0;0;0;Longo da via;Bom;Não existe;Incompleta;Seca;Mal conservada;Não existe;Outras;40km/h;Dupla;Faixa contínua;;
2021-01-06;08:15:00;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;APOS  O HOSPITAL  DA RESTAURAÇÃO   NO SENTIDO  BOA  VIAGEM    DE  ESQUINA  COM  A  PRAÇA  DO  DERBY;DERBY;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;60 km/h;Única;Faixa seccionada;;
2021-01-06;15:22:00;COM VÍTIMA;FINALIZADA;CASA AMARELA;AV NORTE;;RUA GUIMARAES PEIXOTO;RUA GUIMARÃES PEIXOTO;CASA AMARELA;;;COLISÃO TRASEIRA;0;2;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;;Não existe;;
2021-01-06;17:32:00;COM VÍTIMA;CANCELADA;IMBIRIBEIRA;AV MARECHAL MASCARENHAS DE MORAES;;;E/F AOS CORREIOS S/T PRAZERES PROX A FACULDADE UNIVERSO;IMBIRIBEIRA;;;COLISÃO COM CICLISTA;0;0;0;1;0;1;0;0;0;1;0;;;;;;;;;;;;;
2021-01-06;21:17:40;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA DOS NAVEGANTES;;;E/F AO EDFC  HOLIDAY;BOA VIAGEM;;;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Faixa de retenção;"Placas ""Pare""";;Única;Outros;;
2021-01-07;06:55:00;COM VÍTIMA;FINALIZADA;TORRÕES;AV ENGENHEIRO ABDIAS DE CARVALHO;300;;EM FRENTE A UPA/LADO OPOSTO;TORRÕES;;CIDADE;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Canteiro central;Faixa seccionada;
2021-01-07;07:48:00;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;RUA DR LEOPOLDO LINS;;DERBY;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Faixa contínua;;
2021-01-07;08:47:00;SEM VÍTIMA;FINALIZADA;TAMARINEIRA;RUA CORONEL URIEL SERGIO GARDIM;54;;ACADEMIA ARMY CROSSFIT;TAMARINEIRA;;SUBURBIO;COLISÃO LATERAL;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;;Incompleta;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Não existe;;
2021-01-07;09:39:00;COM VÍTIMA;FINALIZADA;GRAÇAS;AV RUI BARBOSA;;RUA DAS GRACAS;EM FRENTE AO COLEGIO AGNES;GRAÇAS;;;CAPOTAMENTO;0;1;0;0;0;0;0;0;0;1;0;Cruzamento;Chuvoso;Sem defeito;Perfeito estado;Molhada;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Única;Faixa contínua;;
2021-01-07;09:55:00;SEM VÍTIMA;FINALIZADA;GRAÇAS;AV GOVERNADOR AGAMENON MAGALHAES;;RUA JOAQUIM NABUCO;;GRAÇAS;;;COLISÃO;1;0;0;0;0;0;0;1;0;0;0;;;;;;;;;;;;;
2021-01-07;11:38:00;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA DA HORA;;;ESQUINA DO CERPE;ESPINHEIRO;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa contínua;Faixa seccionada;
2021-01-07;17:50:00;COM VÍTIMA;FINALIZADA;CASA AMARELA;AV NORTE;;;PRÓX À UPINHA;CASA AMARELA;;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Dupla;Faixa seccionada;Canteiro central;
2021-01-07;18:21:00;COM VÍTIMA;FINALIZADA;PARNAMIRIM;RUA DA HARMONIA;;EST DO ENCANAMENTO;;PARNAMIRIM;;;COLISÃO TRANSVERSAL;0;2;0;0;0;0;0;0;0;2;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Não existe;;
2021-01-08;08:01:00;COM VÍTIMA;FINALIZADA;SAN MARTIN;AV ENGENHEIRO ABDIAS DE CARVALHO;;RUA QUINZE DE MARCO;PRAÇA DA CHESF;SAN MARTIN;;;COLISÃO LATERAL;0;2;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Canteiro central;;
2021-01-08;13:18:00;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;3532;;EM FRENTE AO POSTO IPIRANGA/ SENTIDO BOA VIAGEM;IPSEP;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;;
2021-01-08;21:56:40;COM VÍTIMA;FINALIZADA;PINA;AV HERCULANO BANDEIRA;627;;PROX A CAIXA ECONOMICA;PINA;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Outras;;Única;Faixa seccionada;;
2021-01-09;11:56:00;SEM VÍTIMA;FINALIZADA;BOA VISTA;AV CONDE DA BOA VISTA;1410;;PRÓXIMO À RUA PADRE INGLÊS;BOA VISTA;;;COLISÃO;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2021-01-09;12:19:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV ARMINDO MOURA;;RUA VISCONDE DE JEQUITINHONHA;PRÓX AO COMAR II;BOA VIAGEM;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;Canal;
2021-01-09;12:36:00;SEM VÍTIMA;FINALIZADA;BRASÍLIA TEIMOSA;AV BRASILIA FORMOSA;;;PRAIA BURACO DA VÉIA / PRÓX À LOJA GOUVEIA;BRASÍLIA TEIMOSA;;;COLISÃO LATERAL;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;;;;;;
2021-01-09;14:02:00;COM VÍTIMA;FINALIZADA;ÁGUA FRIA;RUA SAO BENTO;;AV BEBERIBE;EM BAIXO DO SEMAFORO 064;ÁGUA FRIA;64;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Faixa contínua;;
2021-01-09;14:10:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA VISCONDE DE JEQUITINHONHA;;AV ARMINDO MOURA;PRÓX AO COMAR II;BOA VIAGEM;;;COLISÃO TRANSVERSAL;0;2;0;0;0;0;0;0;0;3;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;;
2021-01-09;14:21:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;AV CRUZ CABUGA;;AV NORTE;EM FRENTE AO PREDIO DO SENAI;SANTO AMARO;34;CIDADE;COLISÃO TRANSVERSAL;4;0;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Dupla;Faixa contínua;Faixa seccionada;
2021-01-09;14:24:00;SEM VÍTIMA;CANCELADA;CAMPINA DO BARRETO;RUA MARCILIO DIAS;110;;NA ENTRADA DO POINT BURGUER;CAMPINA DO BARRETO;;;COLISÃO;1;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2021-01-10;00:51:00;COM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;CRUZAMENTO COM A RUA HENRIQUE DIAS SENTIDO BOA VIAGEM;DERBY;;;ATROPELAMENTO;1;0;0;0;1;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Faixa seccionada;Canteiro central;
2021-01-10;19:36:00;COM VÍTIMA;FINALIZADA;AFOGADOS;RUA MOTOCOLOMBO;;;E/F AO TROCAO;AFOGADOS;;;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Única;Não existe;;
2021-01-10;22:27:40;COM VÍTIMA;FINALIZADA;CORDEIRO;RUA CANTORA CLARA NUNES;90 A;;E/F A UPINHA DE SANTA LUZIA;CORDEIRO;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Ilegível;Seca;Mal iluminada;Não existe;Não há placas;;Dupla;Não existe;;
2021-01-11;10:09:00;SEM VÍTIMA;FINALIZADA;DERBY;AV GOVERNADOR AGAMENON MAGALHAES;;;EM FRENTE AO SEMÁFORO Nº 078;DERBY;;CIDADE;COLISÃO TRANSVERSAL;0;0;0;0;0;0;1;1;0;0;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Não existe;;
2021-01-11;11:21:00;COM VÍTIMA;FINALIZADA;GRAÇAS;RUA ALBERTO PAIVA;347;RUA DO FUTURO;EM FRENTE AO BISTRO FRISABOR;GRAÇAS;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Incompleta;Seca;Perfeito estado;Não existe;"Placas ""Pare""";;Única;Faixa seccionada;;
2021-01-11;12:14:00;COM VÍTIMA;FINALIZADA;TORRÕES;RUA WASHINGTON DUARTE ESPINDOLA;;;AO LADO POSTO SHELL LUPI DOIS;TORRÕES;;SUBURBIO;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;2;0;Longo da via;Bom;Não existe;;Seca;Perfeito estado;Não existe;Não há placas;;Única;;;
2021-01-11;14:35:00;COM VÍTIMA;FINALIZADA;ENCRUZILHADA;LGO ENCRUZILHADA;;AV JOAO DE BARROS;;ENCRUZILHADA;664;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;1;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Faixa contínua;Canteiro central;Blocos
2021-01-11;16:00:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;AV CONSELHEIRO AGUIAR;;RUA ARTUR MUNIZ;;BOA VIAGEM;;;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;;;Única;Faixa contínua;Faixa seccionada;
2021-01-11;17:34:00;COM VÍTIMA;FINALIZADA;ARRUDA;AV BEBERIBE;;;PRÓX AO CANAL DA CONSTRUÇÃO;ARRUDA;;;COLISÃO COM CICLISTA;0;0;0;1;0;1;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;R-6a;;Dupla;Faixa contínua;;
2021-01-11;18:22:00;SEM VÍTIMA;CANCELADA;CAMPO GRANDE;RUA MARQUES DE ABRANTES;37;;EM FRENTE A ULTRAGAZ;CAMPO GRANDE;;;COLISÃO COM CICLISTA;2;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;
2021-01-12;08:42:00;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;;RUA SAO NICOLAU;EM FRENTE A CASA DAS BATERIAS. CONCESSIONÁRIAS V8 PREMIUM.;IPSEP;16;SUBURBIO;COLISÃO TRANSVERSAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Agente;;60 km/h;Dupla;Canteiro central;;
2021-01-12;09:52:00;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;;;E/F AO MARTELINHO DE OURO;IPSEP;;;COLISÃO LATERAL;0;0;0;0;0;1;1;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Dupla;Faixa seccionada;Canteiro central;
2021-01-12;10:13:00;COM VÍTIMA;FINALIZADA;IPUTINGA;AV MAURICIO DE NASSAU;268;;E/F A AUTO FILME EQUIPADORA;IPUTINGA;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Ilegível;Seca;Perfeito estado;Não existe;"Placas ""Pare""";;Dupla;Faixa contínua;;
2021-01-12;10:18:00;COM VÍTIMA;FINALIZADA;ESPINHEIRO;RUA QUARENTA E OITO;244;;APOS O ESPAÇO VIDA SAUDAVEL;ESPINHEIRO;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;R-6a;;Única;Faixa seccionada;;
2021-01-12;13:15:00;COM VÍTIMA;CANCELADA;TORRE;RUA REAL DA TORRE;;RUA CONDE DE IRAJA;E/F AO EXTRABOM;TORRE;;;COLISÃO;0;1;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;
2021-01-12;18:29:00;SEM VÍTIMA;FINALIZADA;SANTO AMARO;AV GOVERNADOR AGAMENON MAGALHAES;;;E/F AO CAMPO DO ONZE;SANTO AMARO;;;COLISÃO LATERAL;2;0;0;0;0;0;0;0;0;0;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;;Não há placas;;Dupla;Canteiro central;;
2021-01-12;20:26:00;COM VÍTIMA;FINALIZADA;IMBIRIBEIRA;RUA ALAMEDA DAS HORTENCIAS;279;;PROX AO COLEGIO NOVO MOTIVO;IMBIRIBEIRA;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Não existe;Ilegível;Seca;Mal iluminada;Não existe;Não há placas;;Dupla;Faixa seccionada;;
2021-01-12;22:06:40;COM VÍTIMA;FINALIZADA;IPSEP;AV RECIFE;;;E/F AO POSTO SHELL / SEMÁFORO 055;IPSEP;;;COLISÃO FRONTAL;1;1;0;0;0;0;0;0;0;1;0;;Bom;Não existe;Não existente;Seca;Perfeito estado;Não existe;Não há placas;;;Não existe;;
2021-01-13;10:48:00;SEM VÍTIMA;FINALIZADA;VÁRZEA;RUA GASTAO VIDIGAL;;AV CAXANGA;SEMÁFORO Nº 281;VÁRZEA;281;CIDADE;CHOQUE;0;0;0;0;0;1;0;0;0;0;0;;Bom;Sem defeito;Incompleta;Seca;Perfeito estado;Agente;Não há placas;;Dupla;Faixa contínua;;
2021-01-13;11:12:00;COM VÍTIMA;FINALIZADA;MADALENA;RUA JOAO IVO DA SILVA;;AV ENGENHEIRO ABDIAS DE CARVALHO;AO LADO DO HABIBS;MADALENA;132;CIDADE;COLISÃO TRANSVERSAL;0;2;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Incompleta;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Única;Faixa seccionada;;
2021-01-13;13:48:00;SEM VÍTIMA;CANCELADA;SAN MARTIN;AV GENERAL SAN MARTIN;;;EM FRENTE À FARMÁCIA DO TRABALHADOR;SAN MARTIN;;;COLISÃO;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2021-01-13;14:30:00;COM VÍTIMA;FINALIZADA;PARNAMIRIM;RUA PROFESSORA AURORA SOARES;;;PROX AO MUSEU MURILO LA GREGA;PARNAMIRIM;;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Outros;Não há placas;;Dupla;Faixa contínua;;
2021-01-13;14:59:00;COM VÍTIMA;FINALIZADA;IPUTINGA;AV CAXANGA;;;EM FRENTE A FORD GRANVIA;IPUTINGA;;;COLISÃO COM CICLISTA;1;0;0;1;0;0;0;0;0;2;0;Longo da via;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;;Dupla;Canteiro central;;
2021-01-13;18:01:00;COM VÍTIMA;FINALIZADA;PINA;AV ANTONIO DE GOES;275;;EM FRENTE AO INTERNACIONAL TRADE CENTER;PINA;;;COLISÃO TRASEIRA;1;1;0;0;0;0;0;0;0;1;0;Longo da via;Bom;Não existe;Perfeito estado;Seca;Perfeito estado;Não existe;Não há placas;;Única;Canteiro central;;
2021-01-13;17:59:00;COM VÍTIMA;FINALIZADA;BOA VIAGEM;RUA COSMORAMA;;RUA BALTAZAR PASSOS;PROX TRAS DO COLEGIO MADRE DE DEUS;BOA VIAGEM;556;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Esquina;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Outras;;Dupla;Outros;;
2021-01-13;18:11:00;COM VÍTIMA;FINALIZADA;SANTO AMARO;RUA PALMARES;;RUA TREZE DE MAIO;;SANTO AMARO;30;;COLISÃO LATERAL;1;1;0;0;0;0;0;0;0;1;0;Cruzamento;Bom;Sem defeito;Perfeito estado;Seca;Perfeito estado;Faixa de pedestre;Não há placas;60 km/h;Dupla;Não existe;;
